id,title,text,username,language,rating,ratingtext
11,Rubbish,The most Rubbish unprofessional airline anyone can ever travel no comments to the cabin crew as they cant provide food if the management will not give or working TVs concidering its a hard time for everyone Pia found the chance to over charge take advantage of ppl being stuck and then keeping them hungry for 8hours Whoever the director is of this airline you will have to answer to Allah SWT do your very best in scamming ppl and keeping them hungry wait till Allah SWT shows you how it is,Kalandar123,en,1,Very Bad
12,Mr,Firstly why is there no button to give 0 star rating even a 1 star is too much credit to give for this joke AirlineAbsolute disgrace only had to use out of emergency covid19 and not to do with choice For the amount of money these thieves make youd expect a half decent plane but instead you get a plane that probably hasnt been cleaned since 1996 I say this as I was a young kid who travelled PIA that year My parents paid so I had no choice Side note No procedures in respect of Covid19 My family of 5 including 2 children 3 and 6 were split up and put next to random people thats a great way of containing a disease isnt itIf you have half a brain cell you would NEVER use this airline until they sort their attitude and service out Stop making them money use any other airlines Id rather walk to be honest then use PIAI for one will never ever set foot in a PIA plane again Stay safe people,580ateebr,en,1,Very Bad
13,MASSAGE THERAPIST,Being s patriot I decided to fly through this operator but faced disappointment They cancelled my flight thrice with no legit reason Then I had to book other airline on urgent basis I did not even asked them for refund due to frustration God bless you ,MASSAGE THERAPI M,en,2,Bad
14,Terrible Service but Great flying technique,Payed almost 900 dollars for a single ticket and it actually cost around 500550 dollars I was one of those specials flights1 It as 3 hours late because they couldnt find the cabin crew2 I wont blame they cabin crew bad for service becaue of this epidemic but they were sloppy with other procedures Planes was about to start accelerating on main runway but overhead compartments were still open i had to get up and shut around 67 compartments3 No flight entertainment 4 Seats were in bad condition and food was bad BUT THERE WAS MORE LEG ROOM THAN QATAR5 But i have to compliment the Pilots they were superb i usually have earpain while descend and  landing but this time not a thing  6 They allow 46KG per bag so thats a plusI will recommend PIA solely because of flying quality and 46kg other than that NOTHING,E7234DPmuhammada,en,2,Bad
15,A very bad airline ,Old planes  old seats  service is crap but they do try to rob you at every point wouldnt bother flying with and its the right time for it to go bankrupt  People need to wake up also they took massive advantage of the covid baaad PIA,zafr2015,en,1,Very Bad
16,SUMMAR AFREEN,THE EXPRESS TRIBUNE  TECHNOLOGYInstagrams CEO is managing the billionuser network from his garage,fazala84,en,5,Very Good
17,What a disgusting joke of an airline,I am severely disgusted in PIA for the way in which they have handled the crisis of COVID19 Having cancelled all of their flights upto April 5th they have not sent out any confirmation emails regarding this When I rang the airline contact centre in Islamabad I spoke to Sameer Ali on 26032020 at 442pm who told me my flight has been cancelled however they will not book me and my father onto the emergency flights leaving the same date 2903 and same time 1150am as our original flights When I queried why he just told me he could not I asked to speak to his manager which he refused and also would not provide me with his managers name I further asked him for a confirmation email my flights have been cancelled and he refused to do this He then went on to cut the call on me I am so disgusted this is the kind of service PIA provide to its loyal customers Do not ever book with this disgusting airline again they will rob you of your money and then when it comes down to solving problems they will vanish on you,lubz313,en,1,Very Bad
18,Nice flight,Though the airbus was a very old model and noise level was a little high the leg room even in economy is quite big Choice in food may be restricted the staff was friendly,Shazia A,en,4,Good
19,Digusted,Absolutely disgusting Being a pakistani with a bristish passport security ripped bags open threw everything no respect at all was told to boqrd without bags have no idea if bags are going to be there when i land absolutely digraceful service on the plane too There was flies on the plane,dehg2020,en,1,Very Bad
20,Worst Company to ever fly with,I flew with this airline back when i was heading to pk And not only that the plane was like 78 hrs late They had really rude flight Crew attending Specielly the Ladies nothing Works on board like the small screens infront of u or the audio so all u Can do is to bore ur self during the the loooooong hrs in the Air And now they wont accept that the broke the refund law so they are trying to run away from that to Cant recommend to anyone Seek other ways to fly to Pakistan then this,Malik29,en,1,Very Bad
21,Weight allowed 30kg 1 piece Seriously,Baggage allowed is 30Kg with 1 piece My dad is 72 years old Would you mind telling that 70 people and females will be able to carry 30kgs in on go You guys need some serious coaching for policy formulation Pathetic people pathetic service  PIA,604lz,en,1,Very Bad
22,Confirmed booking cancelled and rerouted flight Waste a day,Planning to travel to Lahore for a short visit and booked a ticket well before Received a phone call 30 hours before that seat is cancelled in Lahore flight and given a seat to Sialkot flight with no other options Wasted a day in our holiday and reached a destination which is 170 km away without an offering of a transport We have hired a private taxi to reach Lahore next day Better to go with other alternatives flights with a stop over in the middle east,Suhail A,en,1,Very Bad
23,Better than expected,The timings of the flight was great at 9 pm and gave me more time to spend at London rather than other airlines which depart at night Arrived 16 minutes earlier There was no IFES but the inflight magazine made up for it by some extent The inflight food was good with the desert being my favorite part The plane on the other hand wasnt clear from both the outside and inside The bathrooms had stickers to hide the damages on the planes body The stewards were polite and spoke softly The seats plain terrible and their covers could easily be removed Overall I had an ok flight If I were short on time I would definitely use PIA due to nonstop flights and good punctuality on International flights Yet if my main concern was to be switched towards luxury I would choose the middle east trio airlines,ShehryarSikandar9,en,3,Average
24,sad experience,no onboard entertainment on way to Lahore or way back as no screens worked seemed they havent paid their tv licence by the looks of things and  the pilot didnt speak at all even to tell the staff to take their seats for landing  as we could of been in Nigeria for all we know very poor overall and sad as wanted to support our carrier but not again Im afraid,445shahida,en,2,Bad
25,Worst airline ever,I would not recommend this airline Because it has the worst customer service plus the seats are broken and the tables are still dirty it was horrible experience and I will not be coming back on PIA The food was not properly cooked and the staff was very rude towards the members of the public please avoid this at all times this is not worth even going on to  Not only that halfway through my journey from Birmingham Airport to Islamabad there were no toilet facilities such as toilet papers and water to wash your hands with staff members do not know how this was not working As you can understand on a 85 hour flight this is unhygienic and below human right standards No apology was issued at any point during the trip or even after,795faisalm,en,1,Very Bad
26,Excellent service  exceeded expectations,So I must admit I was a little worried that I had booked my flights on PIA but must say I was pleasantly surprised at the service The service and food were great It is clear to see the airline is working hard to improve its service and the staff seem to have undergone training as they were  so very helpfully saying that we are there guests and nothing is too much trouble this made for a pleasant journey Although the TV screens dont work yet they are working towards improving the fleet For the price paid  a direct flight was well worth it I would fly with PIA again,Cara A,en,5,Very Good
27,Horrible experience,Worst experience flying with PIA TV and charging device was not working almost 14 hours flight like sitting in jail Washroom was horrible and flooding cant eat food,kkriaz,en,1,Very Bad
28,PIA Worse Airline Ever No Change,Took this flight with my family and diabled mother needed a direct flight Flight delayed while awaiting to board the flight the captain sat next to me and I asked if service had improved and if the plane was a newer one Yes the service has improved hugely the planes are really good I did chuckle for a moment but thought its been 15yrs since flying PIA may have improved 1st on the plane and the toilet bleach smell was the first thing that hit me so many seats with such little legroom Looked at my 15 yr old whos used to travelling on Emirates his smile disappeared We got to our seats we were sat close together but no inflight entertainment most seats were broken old and tatty no legroom and really unclean plane all over Food was ok 35 as the attendant mentioned the food was prepared in Manchester so was average he told me the return flight food would be rubbish We had got plenty of sani sweets chocs from Manchester on the off chance Once food served flight crew non existant Toilets had no hot water and when I queried this the crew member just shook his shouldersPIA is really behind the times and really outdated Im surprised so many still fly with them I can only think as its direct When I read other reviews from people from around the world about there experiences on flights complaining about basic things like not enough drinks served crew to busy to look after them not getting a free upgrade etc they all need to fly PIA and they will realise they are in heaven Oh yeah our plane had mood lighting stars in the sky why have that updated when everything else including the plane are so dated Please avoid where possible fly emirates etihad Oman Kuwait Qatar they all have new planes,786mkhan,en,1,Very Bad
29,pathetic service,such a pathetic service  pathetic food rude staff i think pia is the only airline who hires the women in their retirement agewho are already fedup of their lives didnt have screens ot even the bigger one on front u cant say where are u going where have u reached and what time is itnever going to choose pia ever again,mairashah2018,en,1,Very Bad
30,Thanks PIA,Thanks PIAI have Traveled on Pk786 Dated 15th Dec 2019 LondonIslamabad with Human remain Due poor visibility at Islamabad flight diverted and Landed at Lahore airport The dead body was belongs to Lahore and i was going to take it to Lahore via ambulance After flight landed at Lahore Airport I contact PIA staff explain the the situation and requested to let me Exit at Lahore instead of IslamabadOne of the crew member Mr Asad contacted a Senior Officer of PIA Shuaib Khan at Lahore airport who help me very much and make extra efforts for Off loading me with Human Remain in a very short period of time he done the arrangement to fulfill immigration requirements as well as to deal with cargo to help me to off load at Lahore He also guide me to the Cargo Terminal and explain the whole process which i was no aware offHe also helped to off another family of death case who belongs to Jehlum and requests for Off loading in LahoreHere I also mention a cargo staff who also help me in all process of clearing human remain from cargoI along with the relatives of Human remain are very thankful to these competent officers who are very caring and helping I also Thankful to PIA Management who Improve the services What PIA have done for me on that day I will never be able to pay back Thank you PIA Thank you M Shuaib Khan Mr Asad and cargo service,arbabobaidullah,en,5,Very Good
31,Pathetic Pathetic and Pathetic,In my 10 years of stay in UAE I have never used PIA services but this time just because of patriotism I booked this flight and traveling with my family My flight PK203 supposed to fly at 0150pm on 16th January 2020 and I got a call early in the morning that flight is delayed because of some technical issues and they dont even know what what is that technical issue and the new time is 1150pm nowI got furious at first but then controlled myself and didnt say anything to that agent as its not his fault Later around 9 I took the taxi and reached at the airport at 945pm and upon reaching I came to know that flight is delayed for more 4 hours and now it will fly at 0330am and the most ridiculous thing is they didnt even inform me this time This is the most pathetic experience with any flight Ive ever had and TO BE VERY HONEST I REGRET MY DECISION TO TAKE THIS FLIGHT AND IM SAD THAT I WONT RECOMMEND THIS TO ANYONE AT ALL AND EVEN I WONT FLY VIA PIA EVER IN MY LIFE AGAIN Im out,Waqar H,en,1,Very Bad
32,A decent flight ,Although the flight was delayed 5 hours I do not rate the company less than 8 as cabin crew I appreciate that the delay was due to weather condition and thick fog and delighted that it was not cancelled Free meal voucher was issued for all passengers and great care at the airport for all passengers Food on board is free and drinks round was twice served as well as extra water and tea and coffeeStaff quiet caring as they were aware of delays and how passengers are tiredLeg room is good and toilets kept well clean throughout the flight , ,en,3,Average
33,Pride of Pakistan Wonderful experience ,Pride of Pakistan Had a lovely expereince with them Flew from Islamabad to Doha Qatar Had a lovely expereince Food was good and service was good too Will recommend it to others Cannot wait to fly with them again ,abdulm218,en,5,Very Good
34,Un believeable PIA on time and landing before time   ,Last 3 years I didnt use PIA But that time due to non availability I book with PIA After boarding I thoughti will b late But when I heard announcement I was really shocked its on timeDuring flight they inform we will b land before 30 mintsI was like what happen it that PIAThen I check with some travel agents Now PIA is going Good Because of new professional managementI pray for PIA God bless the staff and management I wish PIA become again number 1 InshaAllah Because its our Brand our pride ,hafizhasnains,en,5,Very Good
35,Great service,Regular flying with PIA since 2018 and the service and food is great and tasty I am proud to say the PIA is the safe airline in the world  Just the entertainment need to upgrade and hope PIA will look into it in near future Very pleasant and comfort flight ,Yasiralipaf,en,5,Very Good
36,Worst Possible Hospitality,I am really sad to write this review After watching all these promotional content and  improvement projection from Pakistan International Airlines and Air Marshal Arshad Mahmood Malik I was really excited to fly with my very first PIA flight My trip was from Abu Dhabi to Islamabad PK 296 Lahore to Karachi PK 313 and then Karachi to Abu Dhabi PK 4222 We were planning to go to attend my best friends wedding My friends and I never flew before with PIA for the obvious reasons bad performance and terrible customer handling in the past Unfortunately this boat drowned leaving very bad impressionsI am a frequent traveler and a Travel Photo blogger ref travelschahI do not like to write negative about services but I always love to share my experiencesDuring the flight from Abu Dhabi when I entered in the aircraft it had a worst smell in aircraft My flight was booked but neither anyone mentioned to me that on domestic flight baggage is reduced nor in the email My baggage was as per my international flight allowance Which was reduced to 20kg without my knowledge If I am flying from Abu Dhabi to Islamabad with 29kg of baggage where I am supposed to leave the rest of 9 kg to fly with your unscheduled flight But at the check in counter Mr Haider misbehaved and literally shouted on me I was impressed with such of wonderful PIA hospitality Then I was handed over to Mr Gondal who took me to ticketing section and without resolving issue left me there with Mr Ali Furqan ticketing guy Mr Gondal asked Mr Furqan to check the ticket and confirm if I am not wrong Mr Furqan informed Mr Gondal that fault is not from my side it is their ticketing issue from Abu Dhabi Mr Gondal informed me he cannot help me out and I will have yo talk to Terminal Managar Mr Chaudhry They informed Mr Chaudhry that its fault from ticketing But Mr Chaudhry said I can apologize the ticketing agencys fault and then clearly refused to help me He was telling me stories how airline is firing people without any justification these days and this is why he cannot provide help to the passengers he need to keep his performance sheet clean I didnt understand how you can prove your performance while leaving passengers devastatedAt the end I had to pay extra for the baggage which was 5800 PKR Not a big deal I came back to the counter and collected my boarding While leaving the check in counter I heard Mr Choudhry talking to a Young lady whos mother was on a wheel chair who also has 7 kg of access baggage that wait on a side he is gonna help her resolving an issue I am sorry for ear dropping here but then I had to interrupt and ask Mr Nice and gentle Choudhry that my access baggage was 4 kilo I had to pay 5800 extra while she has got 7 how you gonna resolve her problem not mine while you are eager to give her favor for nothing and my ticket was a poor performance of your smart ticketing office While talking to Mr Choudhry girl ask me to stay out of THEIR matter But eventually she also had to pay because I was not interested to leave until she receive the same treatment as I hadLeaving the issue behind flight which was supposed to take off at 0800 on 30Dec2019 was rescheduled to 1200 later to 1400 1615 and then 1800 PST It left everyone in frustration too I had asked Mr Choudhry that flight is more than 6 hours delayed now what are the compensations for passengers he angrily said we are giving you lunch what else you want While in departures food was without any thing to drink no water or soft drinks Let me remind you PIA is one of the member signee of The Montreal Convention which reserve the rights of passengers As referenceIn case of flight delay of more than 2 to 4 hours in proportion to flight distance the airline shall serve refreshments  meals to passengers according to time of day and offer communication facilities  hotel accommodation for the night when necessary eg transit passengers  outstation passengers who do not have own accommodation Article D 1225  D14 of ANO001ATCP20I was an outstation passenger and I was not accommodated in anything Which was strange for me No hotel no refreshments Later came the food without water I ask the guy over the reception if he has got some water he said we are out of water go drink from the tap he pointed me towards a water plantWe second part of it When the delay is more than 5 hours and the passenger decides to discontinue his journey with the airline the airline shall offer full refund of the unutilized ticketArticle D 134  D14 of ANO001ATCP20While I was told there is a next flight for you so we can not refund I had my mothers appointment with a doctor at South City Hospital Karachi Thanks to PIA my mother had to miss the appointment because I couldnt make it to Karachi I was so excited to travel with PIA as I am a big supporter of National Institutes But it turned into a worst nightmare At the end I would like to close by addressing CEO PIA Mr Arshad Mahmoud Malik that sir you are struggling with hardware we can understand but what happened to basic customer handling skills Not taught by PIA I am talking about the real basics taught by our parents Where is the compassion Where is the passion of this world class airlineBecause this is the service standard which PIA possess at the moment They have no respect to people And flight schedule whatsoeverI am really sad to say thatA big boo and shame on PIA,TravelSchah,en,1,Very Bad
37,Still a long way to go,Frequent flight delays  really long ones  baggage claim and cleanliness of the aircraft are some of the major issues  Our flight was via Lahore the airport is in a pathetic state  Dirty filthy no maintenance people smoking in the hall way  and much more  Being in 2020 there is no flight entertainment  we still have a long way to go  the fares are not cheap by the way  there is no value for money  lets hope more drastic steps are taken to improve the overall experience Islamabad airport being new is nice ,Tagoretravels,en,1,Very Bad
38,Mrs Sumera Ashfaq,Coming back I had temperature and I was looked after very well by the in cabin staff Got lots of teafood was excellent Will recommend always,775parveezs,en,5,Very Good
39,Visit to Pakistan for 40th year graduation reunion of NCA lahore Architecture Class of 1979,December 182019 was my flight from Dammam to Islamabad with my wife We paid for for preffered seats  3A 3B but at KFIA Dammam we were allotted seat  7D7EI inquired about the change in seat number at check intime but duty official never bothered to respond and or to allot the seat for which I had paid as extra While the boarding the plane i informed the steward about this and they asked me to occupy seats  in the middle of the plane which I did not accept Flight was on time Food quality requires to be upgradeddecember 31st was my retrn flight I at check in informed the staff for my preffred seat 3A 3B and was alloted the same Flight departure was 235 PM but even being a clear day it took off approximatelt 50 minutes late and there was no announcement for the delay It is a national flag carrier and utmost efforts shall be made for the timely flights and any required announcement for the delay etc,bfaksa,en,3,Average
40,Disappointed customer,Travelled from Manchester to Islamabad and the flight was appalling  There was no inflight entertainment for the 8 hour journey The plane was old and the seats were uncomfortable Will not be travelling PIA again will find an alternative airline that puts customer service at the forefront ,Iqbalmanch,en,1,Very Bad
41,Delay,Our flight was at 240 pm on 27th Dec Received a call 1030 am advising it has been delayed to 530 pm No apology or attempt Employees at boarding very robotic and showing that they donot like what they are doing,739shaukatk,en,2,Bad
42,Poor service quality standard from top to bottom and extremely depressing,Very poor service flight suppose to take off 1040 while posting this I am still sitting in the plane and it 1205pm Zero information service from staff ie ground in plane announcement Extremely poor service No cause of delay announced Trying it after 20 years with a hope things might be better unfortunately it has gone bad to worse If this is the way it is managedPIA will not last longer It will become a burden on government of Pakistan,Kamal N,en,1,Very Bad
43,Very bad,Very Bad service as flight to Thailand Bangkok was canceledterminated in February 2019 but sales of ticket were still online in June 2019We arrived airport to take our flight back to Malaysia after our 2weeks if holiday and only found out from the airport customer Service counter that there were no such flight from this Airline coming into BKK Made a call to the airline office and was reconfirmed that the fight was already canceled and airline will refund my booking The thing was there were no confirmation message nor cancellation notice from the airline till my departure date until I made the call to the office We were told to buy alternative ticket in order to proceed on with our journey home and email of cancellation were then received from the airline office NEVER FLY THIS AIRLINE ,pacjet67,en,1,Very Bad
44,Great overall experience,Compared with Serene I had great experience with PIA last week I traveled from Karachi to Islamabad,O4511TNas,en,5,Very Good
45,Direct flight10kg extra baggage allowance,PIA Lahore to Toronto is the only direct flight from Lahore which saves a considerable amount of time energy and hassle especially for those with kids or elderly travellers The service was amazing flight was smooth Another plus is they allow 28kg per bag in contrast to the 23kg allowed by other airlines So thats 10kg extra allowance per person and 30 if you are a family of 3 If you book in advance the fare is also good I booked 50 days in advance and got a return ticket for 980 dollar per person The only downside is no flight entertainment system but you can be prepared accordingly Download things on your phone or ipad Or just catch up on  some sleep like me p,228ridam,en,5,Very Good
46,Economical yet good,Ever since the airline has introduced an Economy  service one doesnt miss the business class offered by other airlines The fare is half that of Business class and the facilities almost the same The food is great the crew is courteous and to top it all one is entitled to the Marahaba Lounge in Dubai,Anwar S,en,4,Good
47,Need to be improved,They need more improvement Fares are so high and service is third class Air hostesses is like mother,syedalifestyle,en,3,Average
48,PAKISTAN INTERNATIONAL AIRLINE,Excellent customer service proud to say PIA is improved a lot from past few years The way it is going with new management team I am sure it will soon become one of the best and trustworthy airline,rajagee786,en,5,Very Good
49,Pakistan is NOT for black visitors ,This flight was atrocious The plane was old which was evident by the lack of infotainment and poor condition of the seats It was a last minute choice due to a very poor visa service or I wouldve travelled on Emirates Airport Exprience  not respective of black visitors I was subjected to 3 intrusive security checks on my luggage then passed on to the military guard who decided to go a step further and scan me then prod my body for drugs If you arent patient and calm then I dont recommend visiting Pakistan Its ingrained in the Pakistan Airport officials nature black means bad Treat them in such a way that theyll either return on the next flight or will never return to Pakistan This is a shame because the people I met were so appreciative of my visit taking pictures at every opportunity lighting up when greeting or thanking them in Urdu My return was no different  uncomfortable checks and disrespectful security guards Note of warning  be mindful of the touts offering access to the Business Lounge for USD 20 The lounge is crap the food well I didnt dare touch itUnfortunately I contracted a stomach bug on my last day which totally hit me for six were talking nearly fainting on the flight out and 3 days on the bog with no food just water Urgh,tadeojo,en,1,Very Bad
50,ITEMS STOLEN FROM LOCKED SUITCASE,Absolutely appalling Checked my bag in at Manchestercollected bag at Islamabad bag looked fine except for a 1inch split in zip but padlock still locked Opened suitcase and found all my toiletries including mosquito sprayexpensive makeup basic creams makeup bag and bottled water had been stolen PIA you seriously need to film your baggage handlers Thieves Dont fly with these jokers if you have a choice no in flight entertainmentdirty seats and cabin crew on both flights had a bad attitude,Samflowers333,en,1,Very Bad
51,Pia in 20019,Pia changed lot in 2019as its my national Flag carrier so always to travel with my flagThey amprove lot this year,flyingoutf,en,5,Very Good
52,Flight of horror ,Went to Pakistan on the 29th October 2019 came back 25th November 2019 Both times on PIA Cannot believe you pay so much money for a terrible flight No entertainment air hostesses and hosts ignorant and not helpful at all I asked for one of them to help as I am caustraphobic and need someone to stand at the toilet and hold the door ajar for me Im also a diabetic so needed help quite often On the flight back was told by the air hostess NOT MY PROBLEM was absolutely disgusted The food was so terrible I took M nd S sandwiches with me and also on the way back PIA need to improve their flights change the older employees for young happy ones and also train them in how to deal with customers most of them had such scowls on their face I was afraid to approach them Not happy at all and I have been with other airlines where the employees have been courteous and polite Thank goodness for British Airways I had to fly with PIA because my grandmother was ill so needed an emergency direct flight Never again Godwilling stay away PIA are a rip off old seating blankets smelt old and was told they only had 5 pillows on the flight back No wonder they are losing customers ,zafoora,en,1,Very Bad
53,Pia flight from lhr to khi,Do not fly Old and dirty aircrafts with very poor service No sign if improvement No online checkin and you have to pay for seat selection Food is poor,Umar A,en,1,Very Bad
54,Worst airline I have ever travelled with,I travel quite alot and this airline is definitely by far the worst No entertainment available on an eight hour flight Staff are rude and unhelpful they do not care about their customers No blankets are provided either and the food is not up to standardsYou do not get what you are paying for at all If you do not mind stopping over then definitely do not use PIA,hi b,en,1,Very Bad
55,Fly ticket,I want use this website for buy ticketi dnt knw what benefit this website give to mei will try to use it more and more,Shafiqueumair,en,3,Average
56,i cant understand whats stopping PIA tp provide cabin entertainment  even they are charging hell a money,is there any responsible person from PIA can answer us that why TV screens not working why there is no audio system on top of that what someone can do in 8 hours without entertainment  any body helo knock knock,azz1010,en,1,Very Bad
57,traveling experience with PIA,Plans are too old and no entertainment system on long haul flights from last 20 years making journey very very difficultLast time I travelled on PIA was 05th of Oct 2019 on flight 701 Islamabad to Manchester and found insect in food and when I informed flight attendant I was told rudely not to eat it rather than apology or any other explanation,Syed M,en,2,Bad
58,improvement,everyone should know that PIA has improved tis airline and is still working on it there are some ups and downs but it is far more better than the past PIA every one should support PIA as now it has improved i have traveled number of on PIA and i can tell you it has improved,Dark night P,en,4,Good
59,Fly at your own risk  Airliner not responsible for you luggage  or your life ,PIA  Great people to fly with If survive Step into Pakistani environment right from entering the airlines smiling  welcoming flight person faces ignoring screaming kids in background welcoming passengers to mildly lit spacious cabin with loads of space for overhead luggage  The only airline allowing you to carry 40 kg per person  friendly staff let you carry more if you are lucky Uncomfortable Mucky seats with broken  prehistoric  non functioning tv screens  roughest seat belts  will keep you tied to the seat for your entire journey unless you bursting with pee Served with miniature meals  unlimited refills of mineral water keeps you well hydrated for your entire journey Surviving the whole journey arriving at destination you need to carry a pillow  blanket as you will need to wait for your luggage for indefinite period of time If your lucky enough to recieve your complete luggage  you need atleast a few hours to few days to celebrate  get congratulated  most probably rewarded to survive it all Amongst the unlucky passenger half of our luggage arrived of all non useful boxes  and after waiting for good few hours we were told to leave our contact numbers for the staff to inform us when our rest of luggage arrives without giving us any estimated time the staff advised us to call daily to inquire about our lost luggage Wrapping our kids in plastic shopping bags without any nappies  toddlers clothes scratching our back in the sweaty clothes we travelled we dragged our remaining luggage after been disappointed from the world most notorious unfriendly  non cooperative staff of PIA we went to the Parking to our transport to relax in the car seat straightening our back started our journey through motorway Halfway through recieved the call from my brother in law who was informed by my sister who was informed by mum that she recieved the call from PIA that they found the lost luggage   to come  collect it Turned our way back to airport going through security explaining the situation for unnecessary travel back to airport paying the airport parking charges again went to PIA desk  with grumpy looking people at reception asked us to pop in the back  identify our suitcases which we did  rushed it away to the car to avoid any further risk of damage or loss PS this was international flight We travelled in domestic flight ATR from Islamabad to Lahore  worst torture in my life  with ringing ears  loosing balance after flight ATR should be banned these are not fit for travel unless you want to transfer your prisoners from jail or punishing someone The torture of travelling through ATR domestic flight will make anyone  Believe in God,faheemshah,en,1,Very Bad
60,Good Airline,Nice airline but aircrafts were old Crew and air hostess were good Meal selection must be changed Have been eating the same menus for the last thirty years Hear they are improving and upgrading their service and aircrafts,Karachifood,en,3,Average
61,Extremely disappointed,Flew with PIA from SHJ to MUX on Friday 1st Nov 2019 Upon arriving in Multan waited for over 1h 30min for my baggage whilst carrying a toddler only to be told that the baggage has not yet arrived and it has been left in Sharjah The bags contained very important luggage such as clothes food milk and all basic necessities of a baby and his mother I was told that my baggage would arrive on Sunday which was a lie It arrived on Wednesday 6th of November I am heading back to Sharjah on Friday 8th of November My baggage arrived 5 days after me and my trip duration is only 7 days Extremely disappointed in this service by our national airline I am deeply ashamed as a Pakistani citizen to call PIA the national airline of my country I am never to trust this airline again or fly with them in the future including my trip back to Sharjah I have flown in over 10 other airlines and I have never been so deeply disappointed at any of their services If an airline cant accommodate the mentioned baggage limit in its aircraft then why allow it This did not only happen on our route but also other routes of PIA Over 50 passengers and over 200 bags were missing,Humdy97,en,1,Very Bad
