Airline,Review No,Sentence No,Sentence,Luggage,Staff,In-flight/on-board service,Airline as a whole,Service before and after the flight,Flight in general,Comfort while waiting,Meals,Cabin,Transportation to the plane
Qatar Airways,13,86,"When it came to the flight itself, we were a bit disappointed that it was a bus transfer to the aircraft.",0,0,0,0,0,0,0,0,0,3
Qatar Airways,13,87,"When we made our booking we had selected seats, but were surprised and annoyed that when we checked in our seat allocation had been changed.",0,0,0,0,0,2,0,0,0,0
Qatar Airways,13,88,The suggestion at check-in was that this was probably due to a change of aircraft which I think was the case.,0,0,0,0,0,0,0,0,0,0
Qatar Airways,13,89,"Our seats were in row 6 and felt little strange as it seemed as if they were a after thought and were ""socially distanced"" from the rest of the business class cabin.",0,0,0,0,0,3,0,0,0,0
Qatar Airways,13,90,Whilst this was a B787 I think it was an older one where the cabin had not been upgraded I found the seat reasonably comfortable is a little narrow but my wife found it difficult to find a comfortable position.,0,0,0,0,0,2,0,0,0,0
Qatar Airways,13,91,The service my wife and I experienced did vary.,0,0,3,0,0,0,0,0,0,0
Qatar Airways,13,92,"The attendant on my side of the plane was efficient, friendly and gave very good service.",0,5,0,0,5,0,0,0,0,0
Qatar Airways,13,93,"However, the attendant on my wife's side of the plane was a little tardy, and actually appeared to fall asleep as the plane was coming into land.",0,2,0,0,2,0,0,0,0,0
Qatar Airways,13,94,The food was good and provided when we asked for it.,0,0,5,0,0,0,0,5,0,0
Qatar Airways,13,95,"The flight was on time, which was pretty essential for us as we had a connection to make in Madrid.",0,0,0,0,0,5,0,0,0,0
Qatar Airways,13,96,"Overall an OK experience, but did not excite us too much",0,0,0,4,0,0,0,0,0,0
Qatar Airways,14,97,I have booked Mumbai-SFO flight on the website for 24Th January2022.,0,0,0,0,0,0,0,0,0,0
Qatar Airways,14,98,"Since we are senior citizens and Corona is rampant in both India and USA, we decided to postpone our trip and we requested refund voucher.",0,0,0,0,0,0,0,0,0,0
Qatar Airways,14,99,But there is no acknowledgement nor any email stating the voucher code.,0,0,0,0,2,0,0,0,0,0
Qatar Airways,14,100,I am trying to reach them on India Numbers as well as Qatar numbers without any luck.,0,0,0,0,1,0,0,0,0,0
Qatar Airways,14,101,Absolutely no communication whatsoever.,0,0,0,0,1,0,0,0,0,0
Qatar Airways,14,102,I still dont know what the status is,0,0,0,0,1,0,0,0,0,0
Qatar Airways,15,103,Our surprised enjoyment of our flights to Male from London was so much that I feel I have to write a review.,0,0,0,5,0,5,0,0,0,0
Qatar Airways,15,104,"From check in until landing the service that we received was excellent, friendly and professional making our journey positively delightful!",0,0,5,0,5,5,0,0,0,0
Qatar Airways,15,105,"I would especially like to mention Pranjal who was my air steward and Ionut the charming barman on this flight, but it is fair to say that all the staff were wonderful and should be commended for their amazing service.",0,5,5,0,5,0,0,0,0,0
Qatar Airways,15,106,I look forward to flying with Qatar again.,0,0,0,5,0,0,0,0,0,0
Qatar Airways,16,107,We had booked flights to Dubai with Qatar airways for 7 of us July 2021.,0,0,0,0,0,0,0,0,0,0
Qatar Airways,16,108,"Unfortunately, due to dubai still on red list at that time we decided to cancel.",0,0,0,2,0,0,0,0,0,0
Qatar Airways,16,109,Qatar was very flexible to either change date or refund.,0,0,0,0,5,0,0,0,0,0
Qatar Airways,16,110,We chose to get full refund which was issued quite quickly,0,0,0,0,5,0,0,0,0,0
Qatar Airways,17,111,Qatar Airways' main problem is lack of communication.,0,0,0,0,1,0,0,0,0,0
Qatar Airways,17,112,They say nothing to you about the different things you will be held responsible for knowing about after you land such as Ehthras.,0,0,0,0,1,0,0,0,0,0
Qatar Airways,17,113,"The airline provides these stopovers so that you can spend money in and get to know Doha city, but they don't make sure you are going to be okay getting into and back out of the airport.",0,0,0,0,1,0,2,0,0,2
Qatar Airways,17,114,They are not helpful.,0,0,1,0,1,0,0,0,0,0
Qatar Airways,17,115,"They don't seem to care after saying things like ""you will not be able to take your flight back to the US because you took your covid test too early."".",0,0,0,0,1,0,0,0,0,0
Qatar Airways,17,116,They interpreted the US policy in a way that would go against me and others instead of asking the US or simply interpreting it a different way.,0,0,0,0,1,0,0,0,0,0
Qatar Airways,17,117,"They were wrong and I ended up on the flight, but imagine the anxiety that they caused.",0,0,0,0,1,0,0,0,0,0
Qatar Airways,17,118,They seem to be very focused on hierarchy and the class of service a person is in rather than helping all customers equally.,0,1,0,0,1,0,0,0,0,0
Qatar Airways,17,119,They should allow for check in much earlier than three or four hours before a flight!,0,0,0,0,2,0,0,0,0,0
Qatar Airways,17,120,There are way too many checkpoints a person has to pass through in order to get on a plane to the US.,0,0,0,0,1,0,0,0,0,0
Qatar Airways,17,121,I HAVE FLOWN ON ALL OF THE AIRLINES IN THE US AND SEVERAL INTERNATIONAL AIRLINES AND MY WORST EXPERIENCE WAS RECENTLY WITH QATAR.,0,0,0,1,0,0,0,0,0,0
Qatar Airways,17,122,They just don't seem to care,0,0,0,2,0,0,0,0,0,0
Qatar Airways,18,123,😡😡😡😡😡 Very bad expérience with Qatar Airways!!!,0,0,0,1,0,0,0,0,0,0
Qatar Airways,18,124,"Flight delayed by their fault, connection missed, 18h at Doha Airport with 8€, no bed no help, no assistance, and one luggage is missing !!!",1,1,0,0,1,0,1,0,0,0
Qatar Airways,18,125,AND NO ANSWER BY E-MAIL !!!,0,0,0,0,1,0,0,0,0,0
Qatar Airways,18,126,In total 36 hours without Any bed !!,0,0,0,0,0,0,1,0,0,0
Qatar Airways,18,127,"They changed our ticket before we landed, They sent an message with a link for assistance but thé page Was not found, No room, no bed, no new facial masks, no fresh air for 18hours!!",0,0,0,0,1,0,1,0,0,0
Qatar Airways,18,128,They lost one luggage at doha airport !! 😡😡😡😡😡,1,0,0,0,0,0,0,0,0,0
Qatar Airways,19,129,I had booked a flight from Frankfurt to Capetown for 13th Dec 2021.,0,0,0,0,0,0,0,0,0,0
Qatar Airways,19,130,On 9th Dec. Qatar changed the times of the return flight and asked me to confirm them.,0,0,0,0,0,0,0,0,0,0
Qatar Airways,19,131,On 12th Dec. online-check-in didn’t work - „Please try again later...“,0,0,0,0,1,0,0,0,0,0
Qatar Airways,19,132,In the late afternoon of 12th December I got the info that the flight was cancelled!!,0,0,0,0,1,0,0,0,0,0
Qatar Airways,19,133,I wasn‘t offered any alternatives ...,0,0,0,0,1,0,0,0,0,0
Qatar Airways,19,134,Qatar?,0,0,0,0,0,0,0,0,0,0
Qatar Airways,19,135,NEVER AGAIN!,0,0,0,1,0,0,0,0,0,0
Qatar Airways,20,136,Check in good and efficient,0,0,0,0,5,0,0,0,0,0
Qatar Airways,20,137,Very poor service levels on board.,0,0,1,0,0,0,0,0,0,0
Qatar Airways,20,138,Older planes have narrow seats snd are very uncomfortable.,0,0,0,0,0,0,0,0,1,0
Qatar Airways,20,139,The newer planes are a bit more comfortable.,0,0,0,0,0,0,0,0,3,0
Qatar Airways,20,140,So check which plane you are in.,0,0,0,0,0,0,0,0,3,0
Qatar Airways,20,141,Meals ok.,0,0,0,0,0,0,0,4,0,0
Qatar Airways,20,142,Cabin crew not helpful or welcoming.,0,1,0,0,0,0,0,0,0,0
Qatar Airways,20,143,Poor film selection.,0,0,2,0,0,0,0,0,0,0
Qatar Airways,20,144,Failed to provide pre ordered meal on one sector.,0,0,0,0,0,0,0,1,0,0
Qatar Airways,20,145,Really not a good experience on board at all and I will avoid flying this airline if I can avoid it.,0,0,0,1,0,0,0,0,0,0
Qatar Airways,21,146,I was travelling with 2 kids to Manchester via Doha.,0,0,0,0,0,0,0,0,0,0
Qatar Airways,21,147,I was told at the Kathmandu airport that my second leg of flights been cancelled.,0,0,0,0,2,0,0,0,0,0
Qatar Airways,21,148,No prior notice or anything.,0,0,0,0,1,0,0,0,0,0
Qatar Airways,21,149,Asked to wait 3 hours at the airport to reschedule my flight.,0,0,0,0,2,0,0,0,0,0
Qatar Airways,21,150,Qatar rescheduled my flight via Doha and London.,0,0,0,0,0,0,0,0,0,0
Qatar Airways,21,151,There were 6 hrs waiting at Doha and London.,0,0,0,0,1,0,0,0,0,0
Qatar Airways,21,152,I was told there was no flight to Manchester but my source at Manchester told me that there was a flight at 7:25 from Doha to Manchester and Qatar put up the price.,0,0,0,0,1,0,0,0,0,0
Qatar Airways,21,153,When we arrived at Doha we requested at transit desk to put us on the 7:25 plane.,0,0,0,0,0,0,0,0,0,0
Qatar Airways,21,154,Initially they said it was fully booked.,0,0,0,0,0,0,0,0,0,0
Qatar Airways,21,155,We had to push it hard to get seats from Doha to Manchester at 7:25 flight.,0,0,0,0,1,0,0,0,0,0
Qatar Airways,21,156,They keep telling of different story of cancellation.,0,0,0,0,1,0,0,0,0,0
Qatar Airways,21,157,Their own staff s explanation is not consistenc,0,1,0,0,1,0,0,0,0,0
Qatar Airways,21,158,We paid more for less transit waiting time flight which Qatar airways cancelled it and they were not trying to give customer service staff are rude and unfriendly.,0,1,0,0,1,0,0,0,0,0
Qatar Airways,21,159,We had to stay at Doha for 8.5hrs,0,0,0,0,1,0,0,0,0,0
Qatar Airways,21,160,No compensation and nothing.,0,0,0,0,1,0,0,0,0,0
Qatar Airways,21,161,I would not fly with Qatar in future.,0,0,0,1,0,0,0,0,0,0
Qatar Airways,22,162,Excellent business class.,0,0,0,0,0,5,0,0,0,0
Qatar Airways,22,163,Extremely clean aircraft.,0,0,0,0,0,0,0,0,5,0
Qatar Airways,22,164,Attentive and caring staff.,0,5,5,0,0,0,0,0,0,0
Qatar Airways,22,165,Hassle-free trip.,0,0,0,0,0,5,0,0,0,0
Qatar Airways,22,166,Enjoyed each moment,0,0,0,5,0,5,0,0,0,0
Qatar Airways,23,167,I have just logged on to write this review and was shocked to see all the negative reviews.,0,0,0,3,0,0,0,0,0,0
Qatar Airways,23,168,I guess as one person said true character comes out in difficulty.,0,0,0,0,0,0,0,0,0,0
Qatar Airways,23,169,I will write this review in my own experience.,0,0,0,0,0,0,0,0,0,0
Qatar Airways,23,170,"We flew return from Paris CDG to Colombo, Sri Lanka via Doha.",0,0,0,0,0,0,0,0,0,0
Qatar Airways,23,171,Booking the flight was easy on the internet but experience was less good when I tried to get a name correction for my son (just they called him “miss” rather than “mr”.,0,0,0,0,3,0,0,0,0,0
Qatar Airways,23,172,After uploading his passport and calling twice still no correction although I was reassured that it was not a problem.,0,0,0,0,2,0,0,0,0,0
Qatar Airways,23,173,It could have been so easy to correct…,0,0,0,0,1,0,0,0,0,0
Qatar Airways,23,174,Anyway it was finally sorted at airport check in.,0,0,0,0,5,0,0,0,0,0
Qatar Airways,23,175,When we arrived at the airport we went to the terminal (2E) showing on the app and our tickets.,0,0,0,0,0,0,0,0,0,0
Qatar Airways,23,176,No flight on the board.,0,0,0,0,1,0,0,0,0,0
Qatar Airways,23,177,Fortunately found an Air France representative who checked that the flight had changed terminal.,0,0,0,0,3,0,0,0,0,0
Qatar Airways,23,178,Could the app have been updated….?,0,0,0,0,3,0,0,0,0,0
Qatar Airways,23,179,Luckily we had plenty of time otherwise that would have been a stressful start.,0,0,0,0,2,0,0,0,0,0
Qatar Airways,23,180,We were flying business.,0,0,0,0,0,0,0,0,0,0
Qatar Airways,23,181,Check in was pretty quick and our visas/pcr et were checked efficiently.,0,0,0,0,5,0,0,0,0,0
Qatar Airways,23,182,Then we’re told there was no business lounge.,0,0,0,0,2,0,0,0,0,0
Qatar Airways,23,183,Because they have moved terminal they share a lounge with a US airline.,0,0,0,0,0,0,0,0,0,0
Qatar Airways,23,184,And that US airline shuts its lounge in the evening.,0,0,0,0,2,0,0,0,0,0
Qatar Airways,23,185,A first world problem maybe but we had paid business class to get a certain service.,0,0,0,0,1,0,0,0,0,0
Qatar Airways,23,186,We had been counting on eating in the lounge so we could maximise sleep on the flight and having run out of the office at full speed i needed to get some work done.,0,0,0,0,0,0,0,0,0,0
Qatar Airways,23,187,In the end we got a 45 euro voucher for the three of us to use in a restaurant.,0,0,0,0,0,0,0,5,0,0
Qatar Airways,23,188,"One problem in that terminal, no restaurants were open so we had 45 euros to spend in macdonalds ..",0,0,0,0,0,0,0,3,0,0
Qatar Airways,23,189,Once on the flight things got better.,0,0,0,0,0,5,0,0,0,0
Qatar Airways,23,190,Very comfortable plane.,0,0,0,0,0,0,0,0,5,0
Qatar Airways,23,191,Very attentive staff.,0,5,5,0,0,0,0,0,0,0
Qatar Airways,23,192,We really could not fault that.,0,0,5,0,0,5,0,0,0,0
Qatar Airways,23,193,Our connecting flights to Colombo were also great.,0,0,0,0,0,5,0,0,0,0
Qatar Airways,23,194,Not such a high class of plane but still good.,0,0,0,0,0,4,0,0,0,0
Qatar Airways,23,195,And on the way back we got to try out QSuites which was fabulous for a family.,0,0,0,0,0,0,0,0,5,0
Qatar Airways,23,196,Western film options were relatively limited compared to other flights but we didn’t really care as we were wanting to sleep.,0,0,4,0,0,0,0,0,0,0
Qatar Airways,23,197,I rewatched the Gavin and Stacey Christmas special and was done.,0,0,5,0,0,0,0,0,0,0
Qatar Airways,23,198,Doha airport was also good.,0,0,0,0,5,0,0,0,0,0
Qatar Airways,23,199,Very busy - quite fascinating to see this huge hub effectively in the middle of nowhere.,0,0,0,0,5,0,0,0,0,0
Qatar Airways,23,200,Heaving at 1 am.,0,0,0,0,0,0,0,0,0,0
Qatar Airways,23,201,On the way out we tried out the swimming pool as we had a 4 hour stop over.,0,0,0,0,5,0,0,0,0,0
Qatar Airways,23,202,On the way back we stopped in the lounge.,0,0,0,0,0,0,0,0,0,0
Qatar Airways,23,203,The lounge is huge with lots of different areas.,0,0,0,0,5,0,0,0,0,0
Qatar Airways,23,204,It does feel a bit cavernous though and my one criticism is there are not enough quiet areas to stretch out and relax in the middle of the night.,0,0,0,0,3,0,0,0,0,0
Qatar Airways,23,205,But that is a minor criticism as really it is very spacious and there are a lot of different spaces and options.,0,0,0,0,4,0,0,0,0,0
Qatar Airways,23,206,So all in all once we had forgotten the experience at París we enjoyed our flight and experience,0,0,0,5,0,5,0,0,0,0
Qatar Airways,24,207,"My partner and I were flying to Kilimajaro airport, with a stopover in Doha.",0,0,0,0,0,0,0,0,0,0
Qatar Airways,24,208,The first flight was late due to a stupid delay in the baggage check-in.,1,0,0,0,1,0,0,0,0,0
Qatar Airways,24,209,"Although most of the customers had to make a connection, the crew didn't bother to communicate anything about it.",0,1,0,0,1,0,0,0,0,0
Qatar Airways,24,210,"When repeatedly asked, we have been given stupid and evasive answers and absolutely nothing was done so that we could make the connection, despite the fact that the plane arrived only 10 minutes after the departure of the next one we were supposed to take.",0,1,0,0,1,0,0,0,0,0
Qatar Airways,24,211,We had to wait for 8h and we were not offered any hotel.,0,0,0,0,1,0,1,0,0,0
Qatar Airways,24,212,We spent the night in the airport sleeping on the floor as all the halls of the airport were occupied by people with the same problem as us.,0,0,0,0,0,0,1,0,0,0
Qatar Airways,24,213,We were denied access to the lounges despite the company's entire fault.,0,0,0,0,1,0,1,0,0,0
Qatar Airways,24,214,"In summary: inline in London, 7-8h spent on the floor of the airport of Doah, 9 and a half hours late on arrival at Kilimanjaro airport, and a lost safari.",0,0,0,0,1,0,1,0,0,0
Qatar Airways,24,215,We lost the safari (which is why we were going to Tanzania) and the deposit.,0,0,0,1,0,0,0,0,0,0
Qatar Airways,24,216,"After one month, we still haven't received any response from Qatar airways to the refund request",0,0,0,1,1,0,0,0,0,0
Qatar Airways,25,217,Worse customer service they have no respect for customers in the ticketing counter .,0,0,0,0,1,0,0,0,0,0
Qatar Airways,25,218,"People there don’t know how to greet , talk especially the black lady in the counter she forgot to print my parents boarding pass but charged more three times over weight Baggages price , $65 for 2 extra pounds and also extra bag for $250 totally a ripoff.",1,1,0,0,1,0,0,0,0,0
Qatar Airways,25,219,"I seriously don’t mind paying but the counter people there are rude , disrespectful and unfriendly .",0,1,0,0,1,0,0,0,0,0
Qatar Airways,25,220,I love flying Qatar air for their price but now I rather pay more in other airlines and get treated more humanly .,0,0,0,3,0,0,0,0,0,0
Qatar Airways,25,221,Qatar airlines seriously needs to train their employees .,0,1,0,0,0,0,0,0,0,0
Qatar Airways,25,222,I will never fly Qatar airlines again !,0,0,0,1,0,0,0,0,0,0
Aeroflot,26,223,Thanks to Aeroflot for comfortable flight.,0,0,0,0,0,5,0,0,0,0
Aeroflot,26,224,Always choose this company and they never disapoint me!!!,0,0,0,5,0,0,0,0,0,0
Aeroflot,27,225,"Like Aeroflot for it’s comfort even for economy class Leg space is ok, drinks and snacks it’s a good idea for a short 2hours’ flight and they are good too",0,0,5,0,0,0,0,5,0,0
Aeroflot,27,226,And in Moscow in cold period you always leave the plane straight into terminal,0,0,0,0,0,0,0,0,0,5
Aeroflot,28,227,Flight to and back from Dubai was perfect.,0,0,0,0,0,5,0,0,0,0
Aeroflot,28,228,In Moscow as in Dubai we we entered inside the airplane direct from the airport.,0,0,0,0,0,0,0,0,0,5
Aeroflot,28,229,"Since I fly very to Italy, I ask to aeroflot, why the flight to italy are always with the bus???",0,0,0,0,0,0,0,0,0,3
